           t           p         gam          mw
   3.2689E+03  3.1026E+01  1.1291E+00  2.9830E+01
   3.1099E+03  1.7966E+01  1.1272E+00  3.0195E+01
   2.5588E+03  2.2996E+00  1.1328E+00  3.1362E+01
   3.2802E+03  3.4474E+01  1.1297E+00  2.9861E+01
   3.1195E+03  1.9958E+01  1.1278E+00  3.0224E+01
   2.5624E+03  2.5518E+00  1.1337E+00  3.1381E+01
   3.0062E+03  6.8947E+00  1.1256E+00  3.0181E+01
   2.8626E+03  3.9953E+00  1.1251E+00  3.0538E+01
   2.3360E+03  5.0802E-01  1.1425E+00  3.1614E+01
   3.0434E+03  1.0342E+01  1.1280E+00  3.0281E+01
   2.8936E+03  5.9873E+00  1.1277E+00  3.0631E+01
   2.3436E+03  7.5747E-01  1.1469E+00  3.1663E+01
   3.0695E+03  1.3789E+01  1.1298E+00  3.0353E+01
   2.9153E+03  7.9776E+00  1.1296E+00  3.0696E+01
   2.3483E+03  1.0056E+00  1.1501E+00  3.1695E+01
   3.0897E+03  1.7237E+01  1.1311E+00  3.0408E+01
   2.9320E+03  9.9667E+00  1.1311E+00  3.0746E+01
   2.3515E+03  1.2527E+00  1.1526E+00  3.1718E+01
   3.1060E+03  2.0684E+01  1.1323E+00  3.0453E+01
   2.9454E+03  1.1955E+01  1.1323E+00  3.0787E+01
   2.3538E+03  1.4990E+00  1.1545E+00  3.1737E+01
   3.1198E+03  2.4132E+01  1.1332E+00  3.0491E+01
   2.9566E+03  1.3942E+01  1.1334E+00  3.0821E+01
   2.3556E+03  1.7447E+00  1.1562E+00  3.1751E+01
   3.1316E+03  2.7579E+01  1.1341E+00  3.0524E+01
   2.9662E+03  1.5928E+01  1.1343E+00  3.0850E+01
   2.3570E+03  1.9899E+00  1.1576E+00  3.1764E+01
   3.1420E+03  3.1026E+01  1.1348E+00  3.0552E+01
   2.9746E+03  1.7914E+01  1.1351E+00  3.0875E+01
   2.3582E+03  2.2345E+00  1.1589E+00  3.1774E+01
   3.1512E+03  3.4474E+01  1.1355E+00  3.0578E+01
   2.9821E+03  1.9899E+01  1.1359E+00  3.0898E+01
   2.3592E+03  2.4788E+00  1.1600E+00  3.1783E+01
   2.9013E+03  6.8947E+00  1.1323E+00  3.0761E+01
